PAY_SCALE_ID,PAY_SCALE_START,PAY_SCALE_END,CR_BY,MOD_BY,ACTIVE,OFLINE
247.0,LEVEL 12 OF PAY MATRIX,-,40.0,54.0,Y,0
248.0,LEVEL 11 (RS. 67700-208700),IN THE PAY MATRIX AS PER 7 CPC,40.0,54.0,Y,0
249.0,LEVEL 11 (RS. 67000-208700),PLUS NON-PRACTICING ALLOWANCE,40.0,54.0,Y,0
250.0,LEVEL 12 OF PAY MATRIX,"OF RS. 78,800-2,09,200/-",40.0,54.0,Y,0
251.0,37400-67000,WITH ACADEMIC GRADE PAY RS. 10000/- AND 9000/-,40.0,5.0,Y,0
252.0,LEVEL 13 RS. 123100,215900,40.0,54.0,N,0
253.0,LEVEL 10 (RS. 56100,177500),40.0,54.0,Y,0
254.0,LEVEL 17,225000,40.0,54.0,N,0
255.0,LEVEL 8 (47600-,151100) IN THE PAY MATRIX,40.0,45.0,Y,0
256.0,101900-3000-,113900 GRADE PAY 17500/-,23.0,5.0,Y,0
257.0,120000-,280000,23.0,5.0,Y,0
258.0,150000 TO,300000,23.0,5.0,Y,0
259.0,"1,44,200","2,18,200",45.0,5.0,Y,0
260.0,"LEVEL 14 (RS. 1,44,200","2,18,200)",45.0,54.0,N,0
261.0,LEVEL 13A (RS. 131100-,216600/-),40.0,54.0,Y,0
262.0,LEVEL 12 (RS. 78800-,209200) OF THE PAY MATRIX,40.0,5.0,Y,0
263.0,160000,290000,45.0,5.0,Y,0
264.0,LEVEL 15 ,IN THE PAY MATRIX AS PER 7TH CPC,40.0,5.0,Y,0
265.0,LEVEL 9 (Rs. 53100,167800),40.0,54.0,Y,0
266.0,200000 -,370000,23.0,5.0,Y,0
267.0,LEVEL 6 (35400,112400),54.0,54.0,Y,0
268.0,LEVEL 13A2 (Rs. 139600,To  211300,23.0,54.0,Y,0
269.0,LEVEL 14A (Rs.159100,To 220200,23.0,23.0,Y,0
270.0,Rs.210000 (Fixed),Plus Special Allowances,23.0,5.0,Y,0
271.0,"2,21,000",/-,40.0,5.0,Y,0
272.0,RS,"2,21,000",40.0,5.0,Y,0
273.0,RS,"1,82,000",40.0,5.0,Y,0
274.0,E-9,(highest level),61.0,5.0,Y,0
275.0,RS.200000,370000,61.0,5.0,Y,0
276.0,"1,65,900","1,85,900  Grade Pay- 23,500",62.0,5.0,Y,0
277.0,"3,55,128/-",.,61.0,5.0,Y,0
278.0,"2,64,081/-",.,61.0,5.0,Y,0
279.0,"2,60,253/-",.,61.0,5.0,Y,0
280.0,LEVEL 10 (RS. 56100,- 177500) - PLUS NON-PRACTICING ALLOWANCE,62.0,5.0,Y,0
281.0,Rs.200000/- ,PER MONTH FIXED,71.0,5.0,Y,0
282.0,00,225000(APEX SCALE),66.0,5.0,Y,0
283.0,225000,225000(APEX SCALE),66.0,5.0,Y,0
