DESIGNATION_ID,DESIGNATION_DESC,CR_BY,MOD_BY,ACTIVE,OFLINE
111.0,PROFESSOR OF MEDICINE,3.0,,Y,0
112.0,SENIOR SPECIALIST,2.0,,Y,0
113.0,COMMANDENT,4.0,,Y,0
114.0,SENIOR SPECIALIST & HOD,2.0,,Y,0
115.0,SENIOR PHYSICIAN,3.0,,Y,0
116.0,SCIENTIST E AND HEAD DEPT. ,3.0,,Y,0
117.0,SCIENTIST E AND HEAD DEPT. ,3.0,,Y,0
118.0,SUPERINTENDENT,6.0,,Y,0
119.0,CHIFF MEDICAL OFFICER,6.0,,Y,0
120.0,CHIEF MEDICAL OFFICER,6.0,,Y,0
121.0,MEDICAL OFFICER,6.0,,Y,0
122.0,RESIDENT,2.0,,Y,0
123.0,READER,2.0,,Y,0
124.0,PHYSICIAN,2.0,,Y,0
125.0,DIVISIONAL MEDICAL OFFICER,2.0,23.0,Y,0
126.0,D P M O,2.0,,Y,0
127.0,SCIENTIST E,2.0,,Y,0
128.0,SCIENTIST,2.0,,Y,0
129.0,ADDITIONAL MEMBER,3.0,,Y,0
130.0,ECONOMIC ADVISOR,2.0,,Y,0
131.0,DY SECRETARY,2.0,,Y,0
132.0,ASST. GENERAL MANAGER,5.0,,Y,0
133.0,MANAGER,4.0,,Y,0
134.0,DY MANAGING DIRECTOR,2.0,,Y,0
135.0,CHIEF MANAGER,2.0,,Y,0
136.0,DY GENERAL MANAGER,2.0,,Y,0
137.0,STATISTICIAN,4.0,,Y,0
138.0,ASST. STATISTICIAN,4.0,,Y,0
139.0,ASST. SCIENTIST,4.0,,Y,0
140.0,SR. FACULTY ,4.0,,Y,0
141.0,OFFICER ON SPECIAL DUTY,3.0,,Y,0
142.0,A G M,4.0,,Y,0
143.0,D G M,4.0,,Y,0
144.0,CHIEF FINANCIAL OFFICER,2.0,,Y,0
145.0,PRESIDENT,4.0,,Y,0
146.0,DEVP. OFFICER,5.0,,Y,0
147.0,ZONAL OFFICER,5.0,,Y,0
148.0,PROF. OF ECONOMICS,3.0,,Y,0
149.0,ADVISER PROGRAMME,6.0,,Y,0
150.0,SPECIAL RESIDENT,2.0,,Y,0
151.0,RESIDENT COMMISSIONER,2.0,,Y,0
152.0,RESIDENT OFFICER,2.0,,Y,0
153.0,SPECIAL COMMISSIONER,2.0,,Y,0
154.0,P S TO THE PRIME MINISTER,2.0,,Y,0
155.0,COMPTROLLER,2.0,,Y,0
156.0,UNDER SECRETARY,2.0,,Y,0
157.0,SPEAKER,2.0,,Y,0
158.0,CABINET SECRETARY,2.0,,Y,0
159.0,O S D,2.0,,Y,0
160.0,C C A,2.0,,Y,0
161.0,CHIEF CONTROLLER OF ACCOUNTS,2.0,,Y,0
162.0,A S AND F A,2.0,,Y,0
163.0,MEMBER,2.0,,Y,0
164.0,SR. DEPUTY DIRECTOR,2.0,,Y,0
165.0,LEGAL ADVISER,2.0,,Y,0
166.0,PRINCIPAL CHIEF COMMISSIONER OF INCOME TAX,5.0,25.0,Y,0
167.0,VIROLOGIST,4.0,,Y,0
168.0,SR. EPIDEMIOLOGIST,4.0,,Y,0
169.0,ADDL. DIRECTOR ,5.0,,Y,0
170.0,SR TOXICOLOGIST,2.0,,Y,0
171.0,SR PHARMACOLOGIST,2.0,,Y,0
172.0,JOINT COMMISSIONER,6.0,,Y,0
173.0,ASST. DIRECTOR GENERAL,4.0,,Y,0
174.0,ASSTT. COMMISSIONER,2.0,,Y,0
175.0,RESEARCH FELLOW,5.0,,Y,0
176.0,SR LECTURER,4.0,,Y,0
177.0,CHIEF ARCHITECT,3.0,,Y,0
178.0,CHIEF ARCHITECT PLANNER,6.0,,Y,0
179.0,SENIOR ARCHITECT,3.0,,Y,0
180.0,MAJOR,3.0,,Y,0
181.0,ARCHITECT,5.0,,Y,0
182.0,SCIENTIFIC OFFICER,6.0,,Y,0
183.0,ASSISTANT RESEARCH ENGINEER,6.0,,Y,0
184.0,CONTROLLER OF MINES,6.0,,Y,0
185.0,REGIONAL CONTROLLER OF MINES,6.0,,Y,0
186.0,REGIONAL CONTROLLER ,6.0,,Y,0
187.0,DY CONTROLLER,6.0,,Y,0
188.0,ADVISOR,4.0,,Y,0
189.0,DEPUTY CHIEF SURVEYOR,5.0,,Y,0
190.0,SUB AREA MANAGER,6.0,,Y,0
191.0,PRINCIPAL OFFICER,6.0,,Y,0
192.0,CHIEF CONTROLLER OF CHARTERING,4.0,,Y,0
193.0,DY. CHIEF SURVEYOR,6.0,,Y,0
194.0,HARBOUR MASTER,5.0,,Y,0
195.0,DEPUTY CONSERVATOR,5.0,,Y,0
196.0,VICE PRINCIPAL,6.0,,Y,0
197.0,ENGINEER ,6.0,,Y,0
198.0,INCHARGE,5.0,,Y,0
199.0,SENIOR SURVEYOR,5.0,,Y,0
200.0,DY CHAIRMAN,5.0,,Y,0
201.0,CONTROLLER GENERAL,5.0,,Y,0
202.0,SR PILOT INSTRUCTOR,2.0,,Y,0
203.0,SR RESEARCH ASSOCIATE,4.0,,Y,0
204.0,SR VISITING FELLOW,4.0,,Y,0
205.0,CHIEF PILOT INSTRUCTOR,4.0,,Y,0
206.0,ASSTT. DY. MANAGER,5.0,,Y,0
207.0,BRIGADIER,4.0,,Y,0
208.0,DY MILITARY SECRETARY,4.0,,Y,0
209.0,DY CHIEF SIGNAL AND TELECOM ENGG.,5.0,,Y,0
210.0,DY CHIEF ENGINEER,5.0,,Y,0
211.0,OFFICER,4.0,,Y,0
212.0,SECONDED PROFESSOR,4.0,,Y,0
213.0,SR. DIV. MANAGER,5.0,,Y,0
214.0,MARKETING MANAGER,5.0,,Y,0
215.0,DIVL. MANAGER,5.0,,Y,0
216.0,ADMN. OFFICER,5.0,,Y,0
217.0,TRUSTEE,5.0,,Y,0
218.0,SR. LECTURER,5.0,,Y,0
219.0,ASSTT. DIRECTOR,6.0,,Y,0
220.0,PROG. ANALYST,6.0,,Y,0
221.0,D G O F AND CHAIRMAN,4.0,,Y,0
222.0,OFFICER IN CHARGE,4.0,,Y,0
223.0,GROUP MANAGER,4.0,,Y,0
224.0,VISITING FELLOW,5.0,,Y,0
225.0,SR. NAUTICAL OFFICER,5.0,,Y,0
226.0,NAUTICAL OFFICER,5.0,,Y,0
227.0,PILOT,5.0,,Y,0
228.0,GOVT OPIUM  ALKALDID WORKS,2.0,,Y,0
229.0,SR. MANAGER,1.0,,Y,0
230.0,PRINCIPAL CHIEF CONSERVATOR,1.0,,Y,0
231.0,ADDITIONAL MANAGER,5.0,,Y,0
232.0,PROJECT ENGINEER,1.0,,Y,0
233.0,LT. COL.,1.0,,Y,0
234.0,ACCOUNTANT GENERAL,5.0,,Y,0
235.0,MINISTER ,5.0,,Y,0
236.0,CHIEF WILDLIFE WARDEN,3.0,,Y,0
237.0,DIV. FOREST OFFICER,5.0,,Y,0
238.0,PLANNING OFFICER,5.0,,Y,0
239.0,D F O,4.0,,Y,0
240.0,CHEMIST,3.0,,Y,0
241.0,D C F,3.0,,Y,0
242.0,INSPECTOR GENERAL,1.0,,Y,0
243.0,DY. INSPECTOR GENERAL,2.0,,Y,0
244.0,RESEARCH OFFICER,2.0,,Y,0
245.0,VICE CHAIRMAN AND MANAGING DIRECTOR,3.0,,Y,0
246.0,SR. FELLOW,3.0,,Y,0
247.0,DY. MANAGER,4.0,,Y,0
248.0,SR. PARTNER,2.0,,Y,0
249.0,ADDL DIST AND SESSION JUDGE,4.0,,Y,0
250.0,DIST. SESSION JUDGE,2.0,,Y,0
251.0,DIST. JUDGE,2.0,,Y,0
252.0,ADDL. LEGISLATIVE COUNSEL,8.0,,Y,0
253.0,SPECIAL JUDGE,8.0,,Y,0
254.0,CHIEF METROLPOLITIN MEGISTRATE CUM SESSION JUDGE,8.0,,Y,0
255.0,DEPUTY REGISTRAR,5.0,,Y,0
256.0,DEPUTY ADVOCATE GENERAL,7.0,,Y,0
257.0,JUDICIAL MEMBER,7.0,,Y,0
258.0,SR. DEPARTMENTAL REPRESENTATIVE,7.0,,Y,0
259.0,TRAINEE,7.0,,Y,0
260.0,JOINT CHIEF DEPT. REPRESENTATIVE,7.0,,Y,0
261.0,CIVIL JUDGE,7.0,,Y,0
262.0,CHIEF JUDICIAL MEGISTRATE,7.0,,Y,0
263.0,DEPUTY LEGISLATIVE COUNCEL,7.0,,Y,0
264.0,ADDL. C P F COMMISSIONER,7.0,,Y,0
265.0,COUNSEL AND LAW CONSULTANCY,7.0,,Y,0
266.0,JOINT CONTROLLER,3.0,,Y,0
267.0,CHIEF JUSTICE,7.0,,Y,0
268.0,REGIONAL P F COMMISSIONER,7.0,,Y,0
269.0,ADVOCATE,4.0,,Y,0
270.0,COLLECTOR,5.0,,Y,0
271.0,ADDITIONAL COMMR OF INCOME TAX,4.0,,Y,0
272.0,JUDGE,3.0,,Y,0
273.0,PRINCIPAL AND SUPERINTENDENT,1.0,,Y,0
274.0,PROFESSOR AND PRINCIPAL,3.0,,Y,0
275.0,TUTOR,1.0,,Y,0
276.0,CHIEF DIRECTOR,4.0,,Y,0
277.0,G H M S,1.0,1.0,N,0
278.0,DOCTOR,1.0,,Y,0
279.0,FELLOW,1.0,,Y,0
280.0,SR. ENGINEER,8.0,,Y,0
281.0,JR. ENGINEER,8.0,,Y,0
282.0,REGIONAL DIRECTOR,1.0,,Y,0
283.0,LT. GENERAL,7.0,,Y,0
284.0,CIVIL ENGINEER,7.0,,Y,0
285.0,VICE CHAIRMAN,9.0,,Y,0
286.0,EXECUTIVE ENGINEER,7.0,,Y,0
287.0,AREA COORDINATOR,1.0,,Y,0
288.0,CHIEF TECH. EXAMINATOR,1.0,1.0,N,0
289.0,CHIEF TECH. EXAMINER,1.0,,Y,0
290.0,CHIEF CONSTRUCTION ENGINEER,1.0,,Y,0
291.0,PARTNER,1.0,,Y,0
292.0,CHIEF VIGILANCE OFFICER,2.0,,Y,0
293.0,SR. EXECUTIVE DIRECTOR,7.0,,Y,0
294.0,ASST. ENGINEER,1.0,,Y,0
295.0,DIV. ENGINEER,1.0,,Y,0
296.0,DY. CHIEF ENGINEER,1.0,,Y,0
297.0,SR. DIV. ENGINEER,1.0,,Y,0
298.0,MAJ. GEN.,1.0,,Y,0
299.0,ASSOCIATE DIRECTORE,3.0,,Y,0
300.0,PRINCIPAL CHIEF ENGINEER,1.0,,Y,0
301.0,RESEARCH ASSISTANT,7.0,,Y,0
302.0,PROF. AND VICE PRINCIPAL,7.0,,Y,0
303.0,CHIEF ADMN. OFFICER,1.0,,Y,0
304.0,SR. RESEARCH OFFICER,1.0,,Y,0
305.0,VISITING PROFESSOR,3.0,,Y,0
306.0,RESEARCH ASSOCIATE,1.0,,Y,0
307.0,RECTOR,1.0,,Y,0
308.0,ADDL. CHIEF ENGINEER,1.0,,Y,0
309.0,CHIEF PERSONNEL OFFICER,1.0,,Y,0
310.0,ASST WORKS MANAGER,2.0,,Y,0
311.0,ADDITIONAL GENERAL MANAGER,4.0,,Y,0
312.0,JT. GEN. MANAGER,1.0,,Y,0
313.0,SR. DEPUTY ADVISOR,4.0,,Y,0
314.0,GOVERNOR,1.0,,Y,0
315.0,AGROMETEOLOGIST,2.0,,Y,0
316.0,SR. AGROMETEOROLOGIST,2.0,,Y,0
317.0,DY SR MANAGER,4.0,,Y,0
318.0,PROFESSOR AND DEAN,4.0,,Y,0
319.0,SR. QUALITY AND ASSURANCE OFFICE,1.0,,Y,0
320.0,ADDL. COMMISSIONER,1.0,,Y,0
321.0,S T S,1.0,,Y,0
322.0,J A G,1.0,,Y,0
323.0,CONVENOR,4.0,,Y,0
324.0,PROGRAMME COORDINATOR,4.0,,Y,0
325.0,PLANT PATHOLOGIST,1.0,,Y,0
326.0,CONTROLLER OF EXAMS.,1.0,,Y,0
327.0,SR. SURGEON,1.0,,Y,0
328.0,PHYSIOLOGIST,8.0,,Y,0
329.0,SURGEON,1.0,,Y,0
330.0,MEDICAL PRACTITIONER,4.0,,Y,0
331.0,HONY PROJECT OFFICER,2.0,,Y,0
332.0,SURVEYOR,6.0,,Y,0
333.0,ASST. REGISTRAR,1.0,,Y,0
334.0,PRINCIPAL AND SCIENTIST AND HEAD,7.0,,Y,0
335.0,SR. SCIENTIST,7.0,,Y,0
336.0,REGIONAL MANAGER,4.0,,Y,0
337.0,READER AND CHAIRMAN,6.0,,Y,0
338.0,TECH. MANAGER,3.0,,Y,0
339.0,ACCOUNT MANAGER,7.0,,Y,0
340.0,SR. TECH. DIRECTOR,1.0,,Y,0
341.0,INSPECTOR OF ARMY BAND,1.0,,Y,0
342.0,TECH. DIRECTOR,1.0,,Y,0
343.0,VISITING SCIENTIST,6.0,,Y,0
344.0,SR. SCIENTIFIC OFFICER,6.0,,Y,0
345.0,EXIHIBITION OFFICER,2.0,,Y,0
346.0,SCIENTIST AND DY. DIRECTOR,1.0,,Y,0
347.0,CURATOR,2.0,,Y,0
348.0,CHIEF MUSEUM OFFICER,2.0,,Y,0
349.0,TECH. OFFICER,6.0,,Y,0
350.0,ASSOC. DEAN AND PRINCIPAL,1.0,,Y,0
351.0,SR PRINCIPAL SURVEYOR,6.0,,Y,0
352.0,PRINCIPAL SURVEYOR,6.0,,Y,0
353.0,ACADEMIC COUNCILLOR,1.0,,Y,0
354.0,SR. PROFESSOR,7.0,,Y,0
355.0,GURU,9.0,,Y,0
356.0,INSTRUCTOR,3.0,,Y,0
357.0,PRG. EXECUTIVE,1.0,,Y,0
358.0,SOFTWARE ENGG.,5.0,,Y,0
359.0,DY. CHIEF SIGNAL OFFICER,8.0,,Y,0
360.0,COL. ADJUTANT,8.0,,Y,0
361.0,INSPECTOR GENERAL OF POLICE,9.0,,Y,0
362.0,CHIEF POSTMASTER GENERAL,6.0,,Y,0
363.0,POST MASTER GENERAL,6.0,,Y,0
364.0,D D G,1.0,,Y,0
365.0,D C P,1.0,,Y,0
366.0,S P,1.0,,Y,0
367.0,S S P,1.0,,Y,0
368.0,A C P,1.0,23.0,Y,0
369.0,ADDL. COMMISSIONER OF POLICE,1.0,,Y,0
370.0,N S G BLACK CAT,1.0,,Y,0
371.0,ADDITIONAL CHIEF SECY,8.0,,Y,0
372.0,MANAGING TRUSTEE,1.0,,Y,0
373.0,MEMBER SECY.,1.0,,Y,0
374.0,PROGRAMME MANAGER,6.0,,Y,0
375.0,CHIEF ELECTORAL OFFICER,8.0,,Y,0
376.0,SPL. SECRETARY,1.0,,Y,0
377.0,SPL. DIRECTOR,1.0,,Y,0
378.0,OMBUDSMAN,1.0,,Y,0
379.0,DIST. MAGISTRATE,1.0,,Y,0
380.0,AREA DEV. COMMISSIONER,1.0,,Y,0
381.0,DIV. COMMISSIONER,1.0,,Y,0
382.0,A I G,4.0,,Y,0
383.0,VIGILENCE COMMISSIONER,1.0,,Y,0
384.0,PRINCIPAL RTC,4.0,,Y,0
385.0,EMBASSY,4.0,,Y,0
386.0,ADMINISTRATOR,1.0,,Y,0
387.0,ADDL. A G,1.0,,Y,0
388.0,POLICE ADVISOR,1.0,,Y,0
389.0,SECRETARY GENERAL,2.0,,Y,0
390.0,BUREAU SPECIAL,1.0,,Y,0
391.0,STATE ELECTION COMMISSIONER,5.0,,Y,0
392.0,DY COMMISSIONER,2.0,,Y,0
393.0,P S TO MINISTER,2.0,,Y,0
