DEGREE_ID,DEGREE_NAME,CR_BY,MOD_BY,ACTIVE,OFLINE
126.0,B H M S,6.0,1.0,N,0
127.0,D M S ,2.0,1.0,N,0
128.0,L C E H ,2.0,1.0,N,0
129.0,D H M S,1.0,1.0,N,0
130.0,M B S,1.0,1.0,N,0
131.0,TUTOR,1.0,1.0,N,0
132.0,G H M S,1.0,1.0,N,0
133.0,C P S,1.0,1.0,N,0
134.0,D P S,1.0,1.0,N,0
135.0,M STAT,1.0,1.0,N,0
136.0,D F HON.,1.0,1.0,N,0
137.0,B M S,1.0,1.0,N,0
138.0,T O T C,1.0,1.0,N,0
139.0,M DES,6.0,1.0,N,0
140.0,VISITING FELLOW,8.0,,Y,0
141.0,B S,1.0,1.0,N,0
142.0,M I E,1.0,1.0,N,0
143.0,F I E,1.0,5.0,Y,0
144.0,P G D C A,1.0,1.0,N,0
145.0,D R C,1.0,1.0,N,0
146.0,D I I T,1.0,1.0,N,0
147.0,DR. ING.,1.0,1.0,N,0
148.0,ENGG. COUNCIL EXAM. LONDON,4.0,1.0,N,0
149.0,S C R A  COURSE,4.0,1.0,N,0
150.0,A D I M,1.0,1.0,N,0
151.0,P G D P M,7.0,1.0,N,0
152.0,P G D P A,7.0,1.0,N,0
153.0,NUCLEAR ENGG.,1.0,1.0,N,0
154.0,P D F,1.0,1.0,N,0
155.0,LICENCIATE OF TEXTILE TECH.,1.0,1.0,N,0
156.0,ADVANCE COURSE IN,1.0,1.0,N,0
157.0,B A HONS.,1.0,1.0,N,0
158.0,M LIT.,5.0,1.0,N,0
159.0,D ORTHO,5.0,1.0,N,0
160.0,B A M S,5.0,1.0,N,0
161.0,D A M,2.0,1.0,N,0
162.0,B S A M ,2.0,22.0,Y,0
163.0,SPL. TRG. IN PHY. MED AND REHABILITATION,1.0,1.0,N,0
164.0,M W A I M,1.0,1.0,N,0
165.0,B U M S,1.0,1.0,N,0
166.0,G U M S,2.0,1.0,N,0
167.0,P G DIPLOMA IN ENGLISH,7.0,1.0,N,0
168.0,G C I M,2.0,1.0,N,0
169.0,D A Y M ,2.0,1.0,N,0
170.0,D N Y,2.0,1.0,N,0
171.0,B SC AGRI,1.0,1.0,N,0
172.0,M SC AGRI,1.0,1.0,N,0
173.0,D B M,7.0,1.0,N,0
174.0,D B A,7.0,1.0,N,0
175.0,AIR PHOTO INTERPRETATION,8.0,1.0,N,0
176.0,A N S I  ,4.0,1.0,N,0
177.0,F R A S ,2.0,1.0,N,0
178.0,B MUSIC,1.0,1.0,N,0
179.0,M MUSIC,1.0,1.0,N,0
180.0,D MUSIC,1.0,1.0,N,0
181.0,POST DOCTORATE IN,1.0,1.0,N,0
182.0,D MIT,1.0,1.0,N,0
183.0,SANGEET VISHARAD,7.0,1.0,N,0
184.0,D P M,7.0,1.0,N,0
185.0,M DRAMA,9.0,1.0,N,0
186.0,M P A,6.0,22.0,Y,0
187.0,F I P E D,1.0,1.0,N,0
188.0,M D P A,1.0,22.0,Y,0
189.0,B J,5.0,1.0,N,0
190.0,M S W ,2.0,22.0,Y,0
191.0,D M R T,8.0,5.0,Y,0
192.0,D M R E,8.0,1.0,N,0
193.0,F I C R,1.0,1.0,N,0
194.0,F R C P,4.0,,Y,0
195.0,D O M S,1.0,1.0,N,0
196.0,D H E,6.0,1.0,N,0
197.0,M P H,6.0,5.0,Y,0
198.0,D I H,2.0,1.0,N,0
199.0,M C T,1.0,1.0,N,0
200.0,B PH. ED.,8.0,1.0,N,0
201.0,M PH. ED.,8.0,1.0,N,0
202.0,D O I H,1.0,1.0,N,0
203.0,M PED,2.0,1.0,N,0
204.0,D Y D,2.0,1.0,N,0
205.0,D S M ,2.0,1.0,N,0
206.0,N I S,2.0,1.0,N,0
207.0,M P E,2.0,1.0,N,0
208.0,DOCTOR OF ENGG.,7.0,1.0,N,0
209.0,PLANT PATHOLOGY,4.0,1.0,N,0
210.0,P G STUDIES IN TOURISM  ARCHAEOLOGY,4.0,1.0,N,0
211.0,D D O,3.0,1.0,N,0
212.0,D L O ,2.0,1.0,N,0
213.0,F A M S ,2.0,1.0,N,0
214.0,DIPLOMA IN APPLIED ART,8.0,1.0,N,0
215.0,DIPLOMA IN INDUSTRIAL DESIGN,8.0,1.0,N,0
216.0,DIPLOMA IN COMMERCIAL ART,8.0,1.0,N,0
217.0,DIPLOMA IN FINE ART,8.0,1.0,N,0
218.0,GOVT. DIPLOMA IN FINE ART AND PAINTING,8.0,1.0,N,0
219.0,GOVT. DIPLOMA IN APPLIED ART,8.0,1.0,N,0
220.0,P.G. DIPLOMA IN INDUSTRIAL DESIGN,3.0,1.0,N,0
